species,tissueType,tissuetype_id,clusterName,celltype_id,gene_MSU,gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g15150,Os02g0249600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g15350,Os02g0252400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g16830,Os02g0268300
Oryza_sativa,seed,PO0009045,endosperm,PO0009089,LOC_Os02g19420,Os02g0296400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g25640,Os02g0453600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g25680,Os02g0454300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g26160,Os02g0459600
Oryza_sativa,seed,PO0009047,endosperm,PO0009089,LOC_Os02g28580,Os02g0487300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g29590,Os02g0499300
Oryza_sativa,seed,PO0009048,endosperm,PO0009089,LOC_Os02g32860,Os02g0530600
Oryza_sativa,seed,PO0009049,endosperm,PO0009089,LOC_Os02g36680,Os02g0576400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g37010,Os02g0580600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g37480,Os02g0586900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g37490,Os02g0587000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g40070,Os02g0614300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g43010,Os02g0644000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g47280,Os02g0701300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g49370,Os02g0725700
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g49410,Os02g0725900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g52710,Os02g0765600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os02g53660,Os02g0776600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os02g54430,Os02g0785600
Oryza_sativa,seed,PO0009052,endosperm,PO0009089,LOC_Os02g54960,Os02g0792500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os03g03660,Os03g0128700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os03g06180,Os03g0157700
